scheduled_date,day_of_week,scheduled_time,post_id,topic,category,folder,status
2026-10-01,Thursday,15:20,ALP-190,A Franchise Opportunity Has Come Up,Scenario-Based,03_generated_posts\ALP-190_a-franchise-opportunity-has-come-up,pending
2026-10-01,Thursday,19:00,ALP-045,What Is a Balloon or Residual Payment?,Educational Fundamentals,03_generated_posts\ALP-045_what-is-a-balloon-or-residual-payment,pending
2026-10-02,Friday,08:00,ALP-110,Finance for Education and Training Providers,Industry-Specific,03_generated_posts\ALP-110_finance-for-education-and-training-providers,pending
2026-10-02,Friday,11:40,ALP-130,Concerned About Your Credit Score Being Affected?,Problems and Objections,03_generated_posts\ALP-130_concerned-about-credit-score-impact,pending
2026-10-02,Friday,15:20,ALP-191,You Need to Relocate Your Business Quickly,Scenario-Based,03_generated_posts\ALP-191_need-to-relocate-quickly,pending
2026-10-02,Friday,19:00,ALP-046,What Is an Establishment Fee?,Educational Fundamentals,03_generated_posts\ALP-046_what-is-an-establishment-fee,pending
2026-10-05,Monday,08:00,ALP-111,Finance for Franchise Businesses,Industry-Specific,03_generated_posts\ALP-111_finance-for-franchise-businesses,pending
2026-10-05,Monday,11:40,ALP-131,“I Tried a Broker Before and It Didn't Work Out”,Problems and Objections,03_generated_posts\ALP-131_tried-a-broker-before-didnt-work-out,pending
2026-10-05,Monday,15:20,ALP-192,Your Insurance Renewal Came in Higher Than Expected,Scenario-Based,03_generated_posts\ALP-192_insurance-renewal-higher-than-expected,pending
2026-10-05,Monday,19:00,ALP-047,What Is an Early Repayment Fee?,Educational Fundamentals,03_generated_posts\ALP-047_what-is-an-early-repayment-fee,pending
2026-10-06,Tuesday,08:00,ALP-112,Finance for Fitness and Gym Businesses,Industry-Specific,03_generated_posts\ALP-112_finance-for-fitness-and-gym-businesses,pending
2026-10-06,Tuesday,11:40,ALP-132,Worried Finance Will Look Bad to Investors or Partners?,Problems and Objections,03_generated_posts\ALP-132_will-finance-look-bad-to-investors,pending
2026-10-06,Tuesday,15:20,ALP-193,You've Been Approached to Export for the First Time,Scenario-Based,03_generated_posts\ALP-193_approached-to-export-for-the-first-time,pending
2026-10-06,Tuesday,19:00,ALP-048,What Is a Loan Term?,Educational Fundamentals,03_generated_posts\ALP-048_what-is-a-loan-term,pending
2026-10-07,Wednesday,08:00,ALP-113,Finance for Hair and Salon Businesses,Industry-Specific,03_generated_posts\ALP-113_finance-for-hair-and-salon-businesses,pending
2026-10-07,Wednesday,11:40,ALP-133,“I Just Need a Small Amount” — Does That Rule You Out?,Problems and Objections,03_generated_posts\ALP-133_just-need-a-small-amount,pending
2026-10-07,Wednesday,15:20,ALP-194,Your Business Just Had Its Best Quarter Ever — Now What?,Scenario-Based,03_generated_posts\ALP-194_best-quarter-ever-now-what,pending
2026-10-07,Wednesday,19:00,ALP-049,What Is a Credit Limit?,Educational Fundamentals,03_generated_posts\ALP-049_what-is-a-credit-limit,pending
2026-10-08,Thursday,08:00,ALP-114,Finance for Wholesale and Distribution Businesses,Industry-Specific,03_generated_posts\ALP-114_finance-for-wholesale-and-distribution-businesses,pending
2026-10-08,Thursday,11:40,ALP-134,Overcoming the Fear of Applying and Getting Rejected,Problems and Objections,03_generated_posts\ALP-134_overcoming-fear-of-applying-and-rejection,pending
2026-10-08,Thursday,15:20,ALP-195,"A Fire, Flood or Other Disruption Has Hit Your Business",Scenario-Based,03_generated_posts\ALP-195_fire-flood-or-disruption-hit-business,pending
2026-10-08,Thursday,19:00,ALP-196,You're Considering Taking on a Business Partner,Scenario-Based,03_generated_posts\ALP-196_considering-taking-on-a-business-partner,pending
2026-10-09,Friday,08:00,ALP-197,Your Biggest Client Wants Exclusivity — At a Cost,Scenario-Based,03_generated_posts\ALP-197_biggest-client-wants-exclusivity-at-a-cost,pending
2026-10-09,Friday,11:40,ALP-198,You're Ready to Retire and Need a Succession Plan,Scenario-Based,03_generated_posts\ALP-198_ready-to-retire-need-succession-plan,pending
2026-10-09,Friday,15:20,ALP-199,Your Business Has Been Offered a Buyout,Scenario-Based,03_generated_posts\ALP-199_business-offered-a-buyout,pending
2026-10-09,Friday,19:00,ALP-200,200 Posts of Finance Education — What We've Learned,Scenario-Based,03_generated_posts\ALP-200_reflecting-on-200-posts-of-finance-education,pending
